,Census Tract ID,Lon,Lat,Distance from CBD,Number of historical sites,Change in children,Change in households,Moved recently,Working women change
60,8031003101,-104.95976652999991,39.75071755000005,1.8890000139629488,1,222.48399999999992,-165.0,194.0,1166.036
61,8031003601,-104.95940084499995,39.772894061000045,2.6875977929106774,1,-308.67999999999984,106.0,458.0,1319.605
62,8031003602,-104.94048528799993,39.772861456000044,3.4617597901169477,1,-438.0169999999998,-10.0,205.0,-607.963
63,8031003603,-104.94057847399995,39.761800952000044,3.0963637356048572,1,-368.8919999999998,-144.0,264.0,-382.53600000000006
64,8031003701,-104.94424140299992,39.75118036500004,2.7072947081649517,1,-268.17599999999993,-75.0,86.0,-810.2870000000003
65,8031003702,-104.95521044399993,39.74018359400009,2.1120784444586804,1,8.050000000000011,-31.0,81.0,625.309
66,8031003703,-104.94210598099994,39.740135645000066,2.8043199837701764,1,10.879999999999995,-330.0,159.0,1465.246
67,8031003800,-104.9406914409999,39.725599748000036,3.153820540512252,1,-175.368,-286.0,58.0,658.208
68,8031003901,-104.95315727699995,39.71511475700004,3.0051916128947096,2,56.144000000000005,-153.0,62.0,-155.86400000000003
69,8031003902,-104.9406980309999,39.69656955600004,4.390156569342921,1,137.93600000000004,-51.0,133.0,-439.3140000000001
70,8031004003,-104.93648737299992,39.66747481400006,6.164974539911258,1,435.5,-242.0,341.0,-345.45000000000005
71,8031004004,-104.92007485699992,39.65309070400008,7.466622737441851,1,226.3749999999999,-79.0,217.0,682.4499999999999
72,8031004005,-104.9407463369999,39.67846793800004,5.397818600884795,1,93.71500000000003,-208.0,299.0,1175.334
73,8031004006,-104.9450995439999,39.678460621000056,5.2790566030615995,1,217.27200000000005,-129.0,121.0,103.70400000000001
74,8031004101,-104.92696740299994,39.78695178000004,4.619255332286609,1,116.685,-218.0,121.0,684.4639999999999
75,8031004102,-104.90014479399991,39.78423276500007,5.7077435608357945,1,287.4200000000001,-175.0,111.0,1384.878
