LDMK_NUM,LDMK_NAME,AKA_NAME,ORD_NUM,ORD_YEAR,ADDRESS_LINE1,ADDRESS_LINE2,SITUS_NUM,SITUS_DIR,SITUS_ST,SITUS_TYPE,HISTORIC_DIST,STATE_HIST_NUM,YEAR_BUILT,ARCH_BLDR,DOCUMENT,PHOTO_LINK,NOTES,GIS_NOTES,DESCRIPTION,ADDRESS_ID
260.0,Fire Station No. 14,None,268,1996,1426 Oneida Street,None,1426,None,Oneida,ST,Not in Historic District,None,1937,None,None,None, ,None,None,None
262.0,Fire Station No. 18,None,270,1996,2205 Colorado Boulevard,None,2205,None,Colorado,BLVD,Not in Historic District,5DV.5987,1912,None,None,None, ,None,None,None
264.0,Berkeley School,None,573,1996,5025-5055 Lowell Boulevard,5025-5065 Lowell Boulevard,5025,None,Lowell,BV,Not in Historic District,5DV.4904,"1894 and 1906, addn 1923",None,None,None, ,None,None,None
299.1,404-440 W. 12th Avenue,Ten-Winkel Towers,202,2000,404-440 W. 12th Avenue,404-410 W. 12th Avenue,404,W,12th,AVE,Not in Historic District,5DV.8359,None,None,None,None,None,None,None,None
268.0,St. Dominic's Church,None,762,1996,3005 W. 29th Avenue,2905 Federal Boulevard,2905,None,Federal ,BV,Not in Historic District,5DV.606,1923-26,None,None,None, ,None,None,None
269.0,Lake Middle School,None,498,1996,1820 Lowell Boulevard,None,1820,None,Lowell,BV,Not in Historic District,5DV.668,1926,None,None,None, ,None,None,None
272.0,Edison School,None,986,1996,3350 Quitman Street,None,3350,None,Quitman,ST,Not in Historic District,5DV.635,"1925, addn 1950, 1993",None,None,None, ,None,None,None
275.0,Milo Smith House,None,99,1997,1360 Birch Street,None,1360,None,Birch ,ST,Not in Historic District,5DV.5178,"1890, addn 1911, 1919.",None,None,None, ,None,None,None
278.0,Cuthbert/Dines Mansion,None,343,1997,1350 Logan Street,None,1350,None,Logan,ST,Not in Historic District,5DV.743,1901,None,None,None, ,None,None,None
279.0,Helene Apartments,None,344,1997,1062 Pearl Street,None,1062,None,Pearl,ST,Not in Historic District,5DV.5249,1904,None,None,None, ,None,None,None
282.0,Arthur E. Pierce House,None,801,1997,24 E. Ellsworth Ave,None,24,E,Ellsworth ,AVE,Not in Historic District,None,1892,None,None,None, ,None,None,None
288.0,Grant House,None,479,1998,100 S. Franklin Street,None,100,S,Franklin,ST,Not in Historic District,5DV.6960,1925,None,None,None, ,None,None,None
42.0,Cox Gargoyle House,None,653,1973,3425 Lowell Boulevard,None,3425,None,Lowell,BV,Packard's Hill,5DV.621,c. 1892,None,None,None, ,None,None,None
48.0,Eugene Field House,None,654,1973,Washington Park,701 S. Franklin Street,701,S,Franklin,ST,Not in Historic District,5DV.173,c. 1875,None,None,None, ,None,None,None
81.0,Treat Hall,Centennial Hall,373,1975,Colorado Women's College,1800 Pontiac Street,1800,None,Pontiac,ST,Not in Historic District,5DV.159,1890-1909,None,None,None, ,None,None,None
97.0,St. Thomas Episcopal Church,None,151,1977,2201 Dexter Street,None,2201,None,Dexter,ST,Not in Historic District,5DV.8350,1908,None,None,None, ,None,None,None
98.0,Phipps House,Belcaro,208,1977,3400 Belcaro Drive,None,3400,None,Belcaro,DR,Not in Historic District,5DV.168,1932,None,None,None, ,None,None,None
104.0,1375 Josephine Street,Gates House,492,1977,1375 Josephine Street,None,1375,None,Josephine,ST,Not in Historic District,5DV.5291,1892,None,None,None,None,None,None,None
107.0,Walters-Brierly House,None,132,1978,2259 Gilpin Street,None,2259,None,Gilpin,ST,Not in Historic District,5DV.5401,1888,None,None,None, ,None,None,None
112.0,2841 Perry Street,Woodbury House,769,1978,2841 Perry Street,None,2841,None,Perry,ST,Not in Historic District,5DV.2821,c. 1895,None,None,None, ,None,None,None
211.0,Grant Middle School,None,775,1993,1751 S. Washington Street,None,1751,S,Washington,ST,Not in Historic District,None,1951-53,None,None,None, ,None,None,None
212.0,Skinner Middle School,None,835,1993,3435 W. 40th Avenue,None,3435,W,40th,AVE,Not in Historic District,5DV.4031,1922,None,None,None, ,None,None,None
318.0,Myrtle Hill School,Washington Park School,592,2006,1125 S. Race Street,None,1125,S,Race,ST,Not in Historic District,None,"1906, addn1922,1928,1980s",None,None,None, ,None,None,None
321.0,Stanley School/Montclair School,Paddington Station Preschool,624,2007,1301 Quebec Street,None,1301,N,QUEBEC,ST,Not in Historic District,5DV.9942,"1890, addition 1991",None,None,None, ,None,None,None
323.0,Hangar 61,None,724,2007,8800 E. 21st Avenue,8700 E. 21st Avenue,8700,E,21st,AVE,Not in Historic District,None,1959,None,None,None, ,None,None,None
324.0,Epiphany Episcopal Church,None,138,2008,100 Colorado Boulevard,None,100,None,Colorado,BLVD,Not in Historic District,None,"1941, addition 1960",None,None,None, ,None,None,None
330.0,Holland House,None,429,2010,2340 S. Josephine Street,None,2340,S,Josephine,ST,Not in Historic District,None,1932-33,None,None,None, ,None,None,None
331.0,The Waldman,None,540,2011,1515 E. 9th Avenue,None,1515,E,9th,AVE,Not in Historic District,None,None,None,None,None, ,None,None,None
113.0,2851 Perry Street,Lobach House,769,1978,2851 Perry Street,None,2851,None,Perry,ST,Not in Historic District,None,c. 1893,None,None,None, ,None,None,None
121.0,Kistler-Rodriguez House,None,296,1980,700 E. 9th Avenue,None,700,E,9th,AVE,Not in Historic District,5DV.1497,1920,None,None,None, ,None,None,None
125.0,Baerresen/Freeman House,None,121,1981,1718 Gaylord Street,None,1718,None,Gaylord,ST,Not in Historic District,None,1903-04,None,None,None, ,None,None,None
297.0,Amos B. Hughes House,None,655,1999,3600 Clay Street,None,3600,None,Clay,ST,Potter Highlands,5DV.85.59,1913,None,None,None, ,None,None,None
3.0,Cheesman-Boettcher (Governor's) Mansion,Governor's Mansion,3,1968,400 E. 8th Avenue,None,400,E,8th,AVE,East 7th Avenue,5DV.169,1908,None,None,None,None,None,None,None
78.0,Coyle/Chase House,None,183,1975,532 W. 4th Avenue,None,532,W,4th,AVE,Not in Historic District,5DV.704,1891,None,None,None, ,None,None,None
166.0,First and Broadway Building,None,289,1986,"101-115 Broadway, 15-27 W. 1st Avenue",None,101,None,Broadway,ST,Not in Historic District,5DV.53,1907,None,None,None, ,None,None,None
302.0,1750 Gilpin Building,None,766,2000,1750 Gilpin Street,None,1750,None,Gilpin,ST,Not in Historic District,5DV.2251,1892-93,None,None,None, ,None,None,None
291.0,7th Avenue Congregational United Church of Christ,None,813,1998,666 King Street,666-678 King Street,678,None,King ,ST,Not in Historic District,5DV.5278,1913,None,None,None, ,None,None,None
